make,model,variant,full_name,body_type,price_ex_showroom,fuel_type,transmission,engine_cc,power_bhp,torque_nm,drivetrain,mileage_arai_kmpl,mileage_arai_km_per_kg,claimed_ev_range_km,seating_capacity,boot_space_litres,ground_clearance_mm,airbags,abs,esc,hill_assist,tyre_pressure_monitoring_system,rear_parking_sensors,rear_camera,camera_360,automatic_climate_control,rear_ac_vents,android_auto,apple_carplay,sunroof,ventilated_front_seats,connected_car_features,adas_available,source,source_last_updated
Mahindra,XUV 3XO,MX2 Pro Diesel 1.5L Turbo Manual,Mahindra XUV 3XO MX2 Pro Diesel 1.5L Turbo Manual,SUV,990000,Diesel,Manual,1498,115.0,300.0,FWD,20.6,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,True,,False,False,CarWale,2026-06-19T12:29:08.088221+00:00
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Automatic (TC),Mahindra XUV 3XO MX2 Pro Petrol 1.2L Turbo Automatic (TC),SUV,993500,Petrol,Automatic (TC),1197,110.0,200.0,FWD,17.96,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,True,,False,False,CarWale,2026-06-19T12:29:08.088416+00:00
Mahindra,XUV 3XO,AX5 Petrol 1.2L Turbo Manual,Mahindra XUV 3XO AX5 Petrol 1.2L Turbo Manual,SUV,999900,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.088611+00:00
Mahindra,XUV 3XO,MX3 Diesel 1.5L Turbo Manual,Mahindra XUV 3XO MX3 Diesel 1.5L Turbo Manual,SUV,1019500,Diesel,Manual,1498,115.0,300.0,FWD,20.6,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.088807+00:00
Mahindra,XUV 3XO,MX3 Pro Diesel 1.5L Turbo Manual,Mahindra XUV 3XO MX3 Pro Diesel 1.5L Turbo Manual,SUV,1072500,Diesel,Manual,1498,115.0,300.0,FWD,20.6,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.089003+00:00
Mahindra,XUV 3XO,MX3 Petrol 1.2L Turbo Automatic (TC),Mahindra XUV 3XO MX3 Petrol 1.2L Turbo Automatic (TC),SUV,1073900,Petrol,Automatic (TC),1197,110.0,200.0,FWD,17.96,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.089204+00:00
Mahindra,XUV 3XO,MX3 Pro Petrol 1.2L Turbo Automatic (TC),Mahindra XUV 3XO MX3 Pro Petrol 1.2L Turbo Automatic (TC),SUV,1102000,Petrol,Automatic (TC),1197,110.0,200.0,FWD,17.96,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.089417+00:00
Mahindra,XUV 3XO,MX3 Diesel 1.5L Turbo Automatic (AMT),Mahindra XUV 3XO MX3 Diesel 1.5L Turbo Automatic (AMT),SUV,1109500,Diesel,Automatic (AMT),1498,115.0,300.0,FWD,21.2,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.089614+00:00
Mahindra,XUV 3XO,REVX A Petrol 1.2L Turbo Manual,Mahindra XUV 3XO REVX A Petrol 1.2L Turbo Manual,SUV,1116500,Petrol,Manual,1197,129.0,230.0,FWD,20.1,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.089809+00:00
Mahindra,XUV 3XO,AX5 Diesel 1.5L Turbo Manual,Mahindra XUV 3XO AX5 Diesel 1.5L Turbo Manual,SUV,1125500,Diesel,Manual,1498,115.0,300.0,FWD,20.6,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.090005+00:00
Mahindra,XUV 3XO,AX5 Petrol 1.2L Turbo Automatic (TC),Mahindra XUV 3XO AX5 Petrol 1.2L Turbo Automatic (TC),SUV,1176000,Petrol,Automatic (TC),1197,110.0,200.0,FWD,17.96,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.090201+00:00
Mahindra,XUV 3XO,AX5L Petrol 1.2L Turbo Manual,Mahindra XUV 3XO AX5L Petrol 1.2L Turbo Manual,SUV,1190500,Petrol,Manual,1197,129.0,230.0,FWD,20.1,,,5.0,,201,6,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,CarWale,2026-06-19T12:29:08.090401+00:00
Mahindra,XUV 3XO,AX5 Diesel 1.5L Turbo Automatic (AMT),Mahindra XUV 3XO AX5 Diesel 1.5L Turbo Automatic (AMT),SUV,1205500,Diesel,Automatic (AMT),1498,115.0,300.0,FWD,21.2,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.090596+00:00
Mahindra,XUV 3XO,AX7 Petrol 1.2L Turbo Manual Dual Tone,Mahindra XUV 3XO AX7 Petrol 1.2L Turbo Manual Dual Tone,SUV,1207500,Petrol,Manual,1197,129.0,230.0,FWD,20.1,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.090790+00:00
Mahindra,XUV 3XO,REVX A Petrol 1.2L Turbo Automatic (TC),Mahindra XUV 3XO REVX A Petrol 1.2L Turbo Automatic (TC),SUV,1227500,Petrol,Automatic (TC),1197,129.0,230.0,FWD,18.2,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.090984+00:00
Mahindra,XUV 3XO,AX7 Diesel 1.5L Turbo Manual Dual Tone,Mahindra XUV 3XO AX7 Diesel 1.5L Turbo Manual Dual Tone,SUV,1288500,Diesel,Manual,1498,115.0,300.0,FWD,20.6,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.091178+00:00
Mahindra,XUV 3XO,AX5L Petrol 1.2L Turbo Automatic (TC),Mahindra XUV 3XO AX5L Petrol 1.2L Turbo Automatic (TC),SUV,1314500,Petrol,Automatic (TC),1197,129.0,230.0,FWD,18.2,,,5.0,,201,6,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,CarWale,2026-06-19T12:29:08.091372+00:00
Mahindra,XUV 3XO,AX7 Petrol 1.2L Turbo Automatic (TC) Dual Tone,Mahindra XUV 3XO AX7 Petrol 1.2L Turbo Automatic (TC) Dual Tone,SUV,1321000,Petrol,Automatic (TC),1197,129.0,230.0,FWD,18.2,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.091762+00:00
Mahindra,XUV 3XO,AX7 Diesel 1.5L Turbo Automatic (AMT) Dual Tone,Mahindra XUV 3XO AX7 Diesel 1.5L Turbo Automatic (AMT) Dual Tone,SUV,1363500,Diesel,Automatic (AMT),1498,115.0,300.0,FWD,21.2,,,5.0,,201,6,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,CarWale,2026-06-19T12:29:08.091956+00:00
