make,model,variant,fuel_type,transmission,engine_cc,current_drivetrain,legacy_make,legacy_model,legacy_variant,legacy_drivetrain,match_method,match_confidence,recovery_status,reason
Tata,Nexon,Creative Plus (PS) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Petrol 1.2L Turbo Automatic (DCT) Dual Tone,Petrol,Automatic (DCT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Diesel 1.5L Turbo 6 Speed Manual Dual Tone,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Diesel 1.5L Turbo Automatic (AMT) Dual Tone,Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) CNG 1.2L Turbo 6 Speed Manual Dual Tone,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) Diesel 1.5L Turbo 6 Speed Manual Dual Tone,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) CNG 1.2L Turbo 6 Speed Manual Dark Edition,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) Petrol 1.2L Turbo Automatic (DCT) Dark Edition,Petrol,Automatic (DCT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) Diesel 1.5L Turbo 6 Speed Manual Dark Edition,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus A (PS) Petrol 1.2L Turbo Automatic (DCT),Petrol,Automatic (DCT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus A (PS) Petrol 1.2L Turbo Automatic (DCT) Dark Edition,Petrol,Automatic (DCT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus A (PS) Petrol 1.2L Turbo Automatic (DCT) Red Dark Edition,Petrol,Automatic (DCT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) Diesel 1.5L Turbo Automatic (AMT) Dual Tone,Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
